Year,Month,Domestic Residents,Residents of other participating EU Member States,Residents of the rest of the world,Total
2005,11,24773.25937885,1405.58636933,10795.93843044,36974.78417867
2005,12,24873.62628218,1356.22132850,11842.87907712,38072.72668774
2006,1,24936.45480309,1319.44989889,11726.78097213,37982.68567413
2006,2,25111.42578894,1393.63418848,12057.28271610,38562.34269352
2006,3,25046.08123409,1328.05735326,12029.26280138,38403.40138872
2006,4,25303.86291140,1333.70375483,11703.90206103,38341.46872725
2006,5,25769.74496636,1322.85120737,11501.72806720,38594.32424088
2006,6,25826.71977786,1370.56956532,11675.11713094,38872.40647420
2006,7,26075.65994515,1385.69056663,12492.59698461,39953.94749636
2006,8,26669.68882512,1391.12748341,13253.48876497,41314.30507352
2006,9,27040.28941498,1408.26720679,13338.90100351,41787.45762534
2006,10,27112.83422429,1416.45190892,13682.26770474,42211.55383794
2006,11,27281.92031197,1366.86036818,13785.49535124,42434.27603136
2006,12,27400.69913318,1147.78486161,14550.55304791,43099.03704267
2007,1,27666.06665266,1375.64303551,14678.04344711,43719.75313529
2007,2,27581.99668008,1374.11089605,14282.04745584,43238.15503204
2007,3,28195.82420784,1579.11320695,14336.77329496,44111.71070973
2007,4,28464.05770471,1449.20901105,14621.65977142,44534.92648714
2007,5,29219.65922684,1359.14660844,15182.74784938,45761.55368466
2007,6,29919.50347367,1312.58653892,16222.37117088,47454.46118347
2007,7,30483.45020627,1269.47249316,18005.18355712,49758.10625655
2007,8,30596.84984706,1328.19682430,17815.07342365,49740.12009497
2007,9,30602.58239211,1367.42425581,17890.87509123,49860.88173916
2007,10,30921.77980546,1749.26823178,17897.90627390,50568.95431111
2007,11,31374.10480283,1380.45494389,18280.10351715,51034.66326383
2007,12,32294.23971552,1390.43335555,18829.37148473,52514.04455582
2008,1,32162.31203635,1546.53221347,18504.45308820,52213.29733802
2008,2,32170.67023621,1465.92574194,17874.00680457,51510.60278272
2008,3,32346.22543785,1599.86721368,17793.20176791,51739.29441944
2008,4,33644.55513382,1561.00386623,20237.43339845,55442.99239850
2008,5,33656.11567706,1604.98849160,18534.76277843,53795.86694709
2008,6,34324.20638862,1656.40681382,18373.25387851,54353.86708095
2008,7,39936.39357326,1029.62835017,14668.54891659,55634.57084002
2008,8,39973.85572473,1130.50327303,15244.44098133,56348.79997909
2008,9,39917.27390234,1257.14440085,15362.97956698,56537.39787017
2008,10,40208.20588298,1212.99308022,15917.37079252,57338.56975572
2008,11,39975.18326194,1176.51593179,15536.75631530,56688.45550903
2008,12,39461.78992164,1090.64541054,15456.84433040,56009.27966258
2009,1,40940.15947029,1137.29662527,16316.08307338,58393.53916894
2009,2,40822.02009369,1172.78075186,16431.58359667,58426.38444222
2009,3,40355.96140241,1145.33427081,15532.13169617,57033.42736939
2009,4,41145.66015163,1198.06384645,15616.35497574,57960.07897382
2009,5,40838.07615014,1247.06326689,15295.23727983,57380.37669686
2009,6,41871.95395391,1065.94992593,15188.43437534,58126.33825518
2009,7,41772.86792949,1066.94030532,15536.18901134,58375.99724615
2009,8,41466.14825743,1099.47994048,15482.35013513,58047.97833304
2009,9,40957.16392725,1070.24806588,15446.64820474,57474.06019787
2009,10,41208.97334013,1145.32653369,15766.65019451,58120.95006833
2009,11,41627.28669819,1196.64531817,15481.15688244,58305.08889880
2009,12,41011.57185038,1290.66586430,15852.67211598,58154.90983066
