Year,Month,Total,Euro,Other,Of which USD,Of which GDP,Of which JPY,Of which CHF
2005,11,36974.78417867,23679.21577077,13295.56840788,11172.00293146,1669.97947771,15.00926232,21.80493957
2005,12,38072.72668774,24108.21732937,13964.50935841,12012.57017069,1656.98585806,17.53373101,19.64445789
2006,1,37982.68567413,24150.96340295,13831.72227115,11876.66615891,1666.08045442,13.82516075,21.12775848
2006,2,38562.34269352,24314.33629318,14248.00640033,12235.84527629,1705.55838527,11.80089762,27.56880593
2006,3,38403.40138872,24294.39125835,14109.01013037,12141.99018942,1677.04193402,14.04204173,24.87305970
2006,4,38341.46872725,24706.24322521,13635.22550205,11627.50582853,1703.68711645,12.63705014,26.44007030
2006,5,38594.32424088,25225.94713115,13368.37710976,11295.14440498,1719.52168826,6.88485125,22.55827641
2006,6,38872.40647420,25452.42513125,13419.98134292,11354.88442485,1733.86943388,10.11381269,21.65521745
2006,7,39953.94749636,25889.24824795,14064.69924846,11771.20874467,1763.52765242,10.70444971,25.23784438
2006,8,41314.30507352,26496.35510902,14817.94996448,12502.73951681,1860.85549353,12.46022185,20.35051466
2006,9,41787.45762534,26891.56442597,14895.89319934,12554.24961541,1862.01214061,82.93601373,23.38631529
2006,10,42211.55383794,27177.98513051,15033.56870737,12697.30668696,1895.91940494,11.44191253,22.65865903
2006,11,42434.27603136,27513.49614836,14920.77988301,12665.80949936,1902.29611721,11.58141280,18.63786119
2006,12,43099.03704267,28048.80462487,15050.23241785,12683.63182070,1898.50741169,21.41757880,44.73696390
2007,1,43719.75313529,28331.82826258,15387.92487270,13004.60261830,1938.74764001,22.80441529,49.33890671
2007,2,43238.15503204,28428.50351622,14809.65151579,12348.56331042,1965.79615922,21.87395798,43.37017292
2007,3,44111.71070973,29051.83139847,15059.87931124,12521.29142012,2005.10590723,22.36444454,42.66435431
2007,4,44534.92648714,29364.52862095,15170.39786626,12645.36911835,2012.36236710,28.40351018,50.69835763
2007,5,45761.55368466,30021.12868047,15740.42500420,13096.21446139,2095.32380375,60.04183999,52.98642979
2007,6,47454.46118347,30560.37312403,16894.08805945,14155.18483586,2130.13597062,67.68783994,44.28519187
2007,7,49758.10625655,31324.09226663,18434.01398993,15621.99090683,2136.47644011,62.47059720,36.18274108
2007,8,49740.12009497,31531.39588238,18208.72421260,15129.52870561,2125.55513788,47.28095850,39.85550805
2007,9,49860.88173916,31989.76692694,17871.11481221,14704.47813406,2133.01505694,18.61094447,55.26024645
2007,10,50568.95431111,32611.59379816,17957.36051301,14541.51770715,2185.56340746,21.35029661,37.94500192
2007,11,51034.66326383,33017.65712021,18017.00614364,14892.13103640,2156.68376515,133.40989601,39.55219573
2007,12,52514.04455582,34029.10845141,18484.93610440,15084.98905040,2327.47770610,129.68766284,38.70623323
2008,1,52213.29733802,34260.06744192,17953.22989610,14508.73986104,2255.98933488,12.81071356,37.20037754
2008,2,51510.60278272,34345.51575413,17165.08702859,13885.82631955,2191.20797671,11.99003592,38.23532789
2008,3,51739.29441944,34974.60962646,16764.68479298,13389.66111185,2168.34502643,115.69831872,43.62534454
2008,4,55442.99239850,36186.76030722,19256.23209128,15775.77350335,2312.26878848,172.45912574,40.43917167
2008,5,53795.86694709,36122.47418348,17673.39276361,14189.72622259,2267.17183364,171.11484984,47.71100116
2008,6,54353.86708095,36664.90889371,17688.95818724,14248.66862419,2201.52523193,169.28083172,82.90923205
2008,7,55634.57084002,37148.38263342,18486.18820660,14870.29014603,2239.63176820,172.19286383,79.51587457
2008,8,56348.79997909,37265.80405638,19082.99592271,15447.04499183,2181.60810301,187.30541955,74.16766847
2008,9,56537.39787017,37613.28161490,18924.11625527,15389.74254501,2225.61688452,36.27626923,54.66268337
2008,10,57338.56975572,37745.96560252,19592.60415320,16349.46939049,2222.20118536,177.27391483,138.09696400
2008,11,56688.45550903,37565.53543158,19122.92007745,15732.63007174,2133.78207076,177.28421310,132.95236506
2008,12,56009.27966258,38113.48726131,17895.79240127,14945.70041693,1864.10838720,175.66070513,95.73202325
2009,1,58393.53916894,39476.04157461,18917.49759433,15759.53811587,2003.63535028,192.59573129,96.64786299
2009,2,58426.38444222,39741.24605673,18685.13838549,15701.83350587,2014.33618377,87.61345915,97.25347861
2009,3,57033.42736939,39520.16397396,17513.26339543,14756.65169268,1953.83612729,25.36826548,95.51361217
2009,4,57960.07897382,40516.02463743,17444.05433639,14541.00920910,2014.12157446,83.31532016,87.47039060
2009,5,57380.37669686,40702.19841187,16678.17828499,13845.22392283,2040.54439380,27.00329726,86.29921428
2009,6,58126.33825518,41947.71015466,16178.62810052,13347.31517643,2048.72933011,31.67978121,81.37658473
2009,7,58375.99724615,41734.60869280,16641.38855335,13713.14140156,2004.66708158,30.45759476,84.82160133
2009,8,58047.97833304,41849.46220874,16198.51612430,13364.65761568,1944.44487972,15.79837276,80.97765078
2009,9,57474.06019787,41846.70208453,15627.35811334,12903.20857892,1876.37908951,14.94774940,79.52809011
2009,10,58120.95006833,42570.82310544,15550.12696289,12857.38005674,1824.40150376,18.80359672,75.20454558
2009,11,58305.08889880,43011.72224971,15293.36664909,12750.55080293,1709.37198530,10.14191649,75.21151416
2009,12,58154.90983066,41942.33471930,16212.57511136,13626.51707928,1705.65945084,17.69336420,72.12650525
2010,1,58364.43225032,42345.84502350,16018.58722682,13435.75499449,1698.91009276,13.88084364,70.48194059
2010,2,60034.65374715,43431.84170068,16602.81204647,14056.29099338,1632.19230772,14.28369213,69.24102636
2010,3,60842.82907529,44174.75912703,16668.06994826,14039.33217463,1623.22913348,9.95605374,75.75648791
2010,4,62265.87493032,44697.39064204,17568.48428828,14895.39718586,1605.56445743,9.73788171,63.88971157
2010,5,63959.32012384,45138.54301961,18820.77710423,16003.39973930,1630.98242690,9.83201211,66.81866763
2010,6,66885.88295111,46262.71641572,20623.16653539,17888.71896408,1620.53377002,7.62245139,82.00174918
2010,7,67090.21021013,46466.76159404,20623.44861609,17674.94251884,1573.55263831,9.02073026,132.68932744
2010,8,67774.23849485,46316.31473131,21457.92376354,18715.99154389,1565.49095026,10.67478085,132.27850245
2010,9,66712.17958535,46189.46227878,20522.71730657,17769.45391099,1494.87891106,9.61043211,123.95096702
2010,10,66940.60610532,46224.03863993,20716.56746539,18121.82263625,1482.65171602,12.78358998,119.41924054
2010,11,68670.59119528,46591.42629012,22079.16490516,19347.98094928,1571.86594942,12.67760632,116.59329526
2010,12,69939.71742619,47259.54298453,22680.17444166,19710.26740314,1511.05562819,11.12041051,139.67095990
2011,1,69653.36244190,47239.00147286,22414.36096904,19671.68182414,1487.34503878,9.71962246,144.04457256
2011,2,69091.44129711,47493.99385608,21597.44744103,18878.34297801,1501.75008722,8.00134171,146.91392998
2011,3,68693.41289566,47751.06656460,20942.34633106,18334.68398349,1397.01119371,9.78067913,142.41160485
2011,4,70785.20374607,48301.72697398,22483.47677209,19873.26307192,1399.84770214,8.88380858,156.94748595
2011,5,72843.30503733,49229.84355548,23613.46148185,20220.73882556,1396.69936664,7.12531722,164.31673078
2011,6,71075.06586508,49821.91012186,21253.15574322,18181.56086398,1318.50039908,7.94397181,177.42866216
2011,7,71404.47068302,50043.05504205,21361.41564097,18183.81710062,1354.52904376,9.39711235,209.81721345
2011,8,69827.96694568,49252.15435578,20575.81258990,17484.37607076,1321.04771275,8.78201284,157.51415625
2011,9,69801.81257679,49182.72205042,20619.09052637,17757.95505866,1323.20001237,7.95952487,118.21106674
2011,10,69670.09565529,48821.98139776,20848.11425753,17507.28282846,1333.90221784,9.71182544,116.98163931
2011,11,69058.06512675,48190.03437442,20868.03075233,17524.31680486,1291.98878474,9.66755239,114.02250325
2011,12,69297.57238954,48593.94596473,20703.62642481,17416.24819607,1269.79676331,11.55728578,156.09481658
2012,1,69641.85428677,48365.38554835,21276.46873842,17977.69889540,1259.44709802,10.14781726,149.51655662
2012,2,69599.41565814,48435.54041462,21163.87524352,18076.04411026,1286.02145663,12.87585397,152.12997868
2012,3,70713.54529985,48964.86565804,21748.67964181,18404.61128029,1316.61575621,12.56895416,154.28116339
2012,4,71601.76166653,49409.30470086,22192.45696567,18444.67587774,1320.69918822,16.75967478,152.87286761
2012,5,72461.75528213,50341.22426334,22120.53101879,18943.77685984,1330.77147484,16.33014383,155.08869169
2012,6,70772.65255759,50161.88923425,20610.76332334,17692.64766947,1285.72795700,13.32351460,177.75324663
2012,7,70566.48508850,49829.43396019,20737.05112831,17735.73232664,1329.34230910,12.35896699,175.90647982
2012,8,70665.86999336,49682.83575792,20983.03423544,18043.06226018,1293.13143991,11.83532989,168.01234207
2012,9,70693.95436490,49709.48155882,20984.47280608,17948.75318199,1269.44023438,9.46089926,161.19863312
2012,10,70307.46907415,49361.55496519,20945.91410896,18032.28059915,1285.96213001,14.54454003,155.54415276
2012,11,69941.57390777,49163.33725044,20778.23665733,17884.86472983,1265.29045759,15.59388296,168.91990075
2012,12,70157.37024357,49110.19423134,21047.17601223,18125.31708436,1279.26600783,14.23307997,175.59275449
2013,1,68420.80595023,48193.93731273,20226.86863750,17402.22495725,1215.73985573,10.95654104,166.64049418
2013,2,67467.99978039,46927.09588671,20540.90389368,17854.57243953,1220.63093757,10.05227924,163.77922991
2013,3,63716.36993752,45224.76457634,18491.60536118,16004.41845717,1208.05664389,15.24557068,166.05811325
2013,4,57370.56899641,42504.01729891,14866.55169750,12775.17123031,1072.67822489,8.45509828,141.27267722
2013,5,56019.97280716,43537.50288104,12482.46992612,10795.14918490,928.98649429,4.82343912,76.35704295
2013,6,50699.58951911,38704.28539972,11995.30411939,10322.97625910,888.25094497,4.35664951,69.43673611
2013,7,49743.42487108,37959.56820485,11783.85666623,10186.61014007,880.63770940,4.50413148,70.41367147
2013,8,48303.62183838,36973.44864803,11330.17319035,9774.47060944,868.52373973,3.62555586,65.24100982
2013,9,47475.29351179,36319.58479817,11155.70871362,9429.20037037,899.76772629,3.83207226,61.57778414
2013,10,47312.24472068,35915.07531595,11397.16940473,9638.06115655,877.27462089,3.58306207,60.64090520
2013,11,47168.68818172,35831.57682426,11337.11135746,9637.65879702,890.53548284,4.24988127,60.36517307
2013,12,46993.19170660,36227.78963362,10765.40207298,9189.76078410,828.05400680,4.20263666,57.57730534
2014,1,46902.77380079,35907.14254041,10995.63126038,9399.95644751,832.00542072,3.43298441,66.51753354
2014,2,46400.61884856,35539.82545013,10860.79339843,9258.01950221,824.26410272,3.63134750,59.30058457
2014,3,46186.02965165,35442.13031809,10743.89933356,9268.75864614,823.10437874,3.71056508,57.09026031
2014,4,46392.42523802,35543.46232000,10848.96291802,9208.33833010,822.83395794,5.12954859,55.81075238
2014,5,46915.09368361,35431.33237331,11483.76131030,9899.53327019,853.23076630,3.89524198,56.06065308
2014,6,46532.65850484,35334.78912913,11197.86937571,9453.08060540,832.14153234,3.59622071,58.82323764
2014,7,46572.55159171,35310.76063918,11261.79095253,9639.29613481,838.43757805,3.96014333,56.83392336
2014,8,46367.23392239,35235.30045752,11131.93346487,9495.15492040,905.28493642,4.40548427,56.64933755
2014,9,45969.06719930,34931.70770013,11037.35949917,9339.26331098,912.36351801,5.12720062,54.26382656
2014,10,45747.92596034,34870.96696983,10876.95899051,9303.71834638,883.39504919,4.40663998,53.62015346
2014,11,45791.22173128,35043.49453586,10747.72719542,9118.56073157,877.88581854,4.46292273,51.94203681
2014,12,46124.35900986,35318.47327831,10805.88573155,9454.28887335,834.79450747,5.21449792,53.55313501
2015,1,46520.09222787,35280.37372080,11239.71850707,9840.33873683,863.03848583,6.00475140,52.52218454
