Year,Month,General Government,Other sectors,Of which Financial Intermediaries,Of which Insurance Corporations and Pension Funds,Non Financial Corporations,Households,Total
2005,11,392.53746629,36582.24671238,1451.82564783,1816.10814305,12932.34264116,20294.90952904,36974.78417867
2005,12,412.63756859,37660.08911915,1298.95801222,1872.31225861,13834.08753753,20630.29572484,38072.72668774
2006,1,442.39337537,37540.29229876,1315.99799901,1898.59315322,13667.96724807,20603.22293415,37982.68567413
2006,2,449.38226893,38112.96042461,1331.79956885,1860.78475379,14058.31133050,20848.39792155,38562.34269352
2006,3,333.23913124,38070.16225744,1714.51391600,1957.30788185,13664.06477550,20726.41103225,38403.40138872
2006,4,337.30849472,38004.16023256,1534.53057985,1966.34836751,13536.78055002,20961.61232018,38341.46872725
2006,5,326.13224700,38268.19199390,1549.55381865,2007.59555563,13564.79690836,21143.31768925,38594.32424088
2006,6,324.39549732,38548.01097687,1500.22505967,2024.28852056,13754.90089509,21265.01877324,38872.40647420
2006,7,314.31606539,39639.63143098,1421.15396031,2037.57505176,14689.40793901,21488.10127554,39953.94749636
2006,8,305.90139935,41008.40367415,1843.09536803,2045.82891805,15425.01397279,21687.06226512,41314.30507352
2006,9,308.97185711,41478.48576823,1778.48681394,2106.67379696,15628.88942145,21963.33562487,41787.45762534
2006,10,310.51860361,41901.03523431,1515.26415522,2134.77351501,16035.66333942,22215.03756016,42211.55383794
2006,11,301.76325768,42132.51277369,1729.36470522,2127.99138981,15936.10964158,22338.30449746,42434.27603136
2006,12,275.16076978,42823.87627291,1756.13144820,2199.10449356,15984.70326967,22882.94782592,43099.03704267
2007,1,257.03516952,43462.71796575,1761.99537777,2258.37219994,16299.47812581,23142.34530109,43719.75313529
2007,2,265.39222787,42972.76280413,1863.30603108,2299.14716614,15558.93546324,23250.45223238,43238.15503204
2007,3,328.36301563,43783.34769409,1863.22275813,2455.91109615,16027.19159587,23435.96257379,44111.71070973
2007,4,334.52028645,44200.40620071,2159.36779382,2489.58065794,15895.36485746,23655.37484419,44534.92648714
2007,5,278.86052070,45482.69316396,2059.63272365,2536.76074413,16715.80756920,24169.33602282,45761.55368466
2007,6,267.85977081,47186.60141269,2054.35823343,2555.43391760,17995.17789938,24580.14206453,47454.46118347
2007,7,268.32494798,49489.78130856,2206.14836419,2574.22225721,19755.64097194,24952.55148046,49758.10625655
2007,8,265.97355298,49474.14654198,2023.57541554,2605.80897426,19730.77663656,25112.84459840,49740.12009497
2007,9,289.06605373,49571.81568545,1879.59113360,2593.31605875,19897.08829027,25200.71352033,49860.88173916
2007,10,318.32051555,50250.63379562,2177.63488008,2650.82255626,20171.55962457,25249.65343678,50568.95431111
2007,11,342.36628972,50692.29697413,2747.96370273,2670.84133895,19925.39647350,25347.09537121,51034.66326383
2007,12,285.18046062,52228.86409519,2714.07091687,2684.67507757,20560.03866854,26268.94203500,52514.04455582
2008,1,298.19156369,51915.10577433,2067.28745228,2707.16548060,20748.85662775,26390.84782504,52213.29733802
2008,2,276.33320421,51234.26957851,2122.45928959,2705.85295099,19955.20254939,26449.76832228,51510.60278272
2008,3,285.31983207,51453.97458737,2231.12521348,2757.20909036,20128.44374512,26336.09197475,51739.29441944
2008,4,276.68730546,55166.30509304,2340.33873796,2776.90065792,23387.16566503,26661.02453382,55442.99239850
2008,5,274.67671072,53521.19023637,2267.46301258,2795.27559134,21590.30492625,26866.97941030,53795.86694709
2008,6,287.10338114,54066.76369981,2373.01851483,2844.11961096,21658.66457667,27189.81271495,54353.86708095
2008,7,294.98537045,55339.58546957,3141.51540569,2903.54516968,22069.45338053,27224.06235543,55634.57084002
2008,8,276.99850231,56071.80147678,3093.89786773,2860.33057759,22890.86599022,27225.97348560,56348.79997909
2008,9,344.01334300,56193.38452717,2997.70224650,2877.59689193,22889.97556959,27426.99565593,56537.39787017
2008,10,376.01064543,56962.55911029,3449.52805076,2929.71387275,22794.56178657,27787.82917284,57338.56975572
2008,11,333.17992620,56355.27558283,2866.14952167,2941.37532220,22780.74122763,27766.12855693,56688.45550903
2008,12,355.43488581,55653.84477677,2914.50452594,2936.59859283,22065.78505540,27736.15118787,56009.27966258
2009,1,1342.23377431,57051.30539463,3049.83647569,3002.58220751,22733.21681597,28235.21140365,58393.53916894
2009,2,1316.54937767,57109.83506455,3128.07507841,3012.00247174,22642.00364168,28277.83629642,58426.38444222
2009,3,1193.06273613,55840.36463326,2825.64668098,2985.73121096,21904.82118271,28123.36861833,57033.42736939
2009,4,2167.19917631,55792.87979751,2984.64903795,2987.77828355,21527.86708718,28241.69916166,57960.07897382
2009,5,2078.71887770,55301.65781916,2962.85190394,3027.17645373,21060.06231039,28216.62556448,57380.37669686
2009,6,3193.15315104,54933.18510414,2851.54839944,3084.13592640,20675.15831531,28299.28484564,58126.33825518
2009,7,2786.60378768,55589.39345847,2779.74078844,3073.99424286,21338.55555822,28349.55347605,58375.99724615
2009,8,2588.41205229,55459.56628075,2730.55922018,3102.18239628,21254.40117693,28345.80850589,58047.97833304
2009,9,2280.17118983,55193.88900804,2553.95130314,3156.42920011,20904.17873608,28534.71074889,57474.06019787
2009,10,2511.57932249,55609.37074584,2643.58709746,3235.62422001,21037.67910862,28691.87937298,58120.95006833
2009,11,2480.19889661,55824.89000219,2788.43733072,3229.62124216,21138.42065048,28618.62126074,58305.08889880
2009,12,417.77595026,57737.13388040,3098.65890172,3311.10108045,21970.30366108,29356.16317269,58154.90983066
2010,1,397.02206755,57967.41018277,2669.01534149,3407.80662277,22107.43702891,29773.23522955,58364.43225032
2010,2,1046.96081692,58987.69293023,2744.13954371,3380.45636665,22673.54278928,30131.98674681,60034.65374715
2010,3,956.87412094,59885.95495435,2704.77166477,3401.34186899,23103.87170940,30666.45387124,60842.82907529
2010,4,746.36184441,61519.51308591,2947.99177104,3428.04114569,24020.98976317,31115.02540633,62265.87493032
2010,5,631.13746221,63328.18266163,2836.69630523,3416.14253585,25439.41149388,31606.09730945,63959.32012384
2010,6,460.39886586,66425.48408525,6044.12195089,3460.15266165,24622.43433807,32109.92628659,66885.88295111
2010,7,390.33282029,66699.87738984,5767.91326478,3444.72226440,24965.22486550,32303.36120281,67090.21021013
2010,8,361.77764949,67412.46084536,5636.17452492,3477.89373863,25633.43434587,32459.74003752,67774.23849485
2010,9,358.65768217,66353.52190318,5397.27230681,3723.19242985,24880.88310729,32139.85951380,66712.17958535
2010,10,371.75725016,66568.84885516,5404.56451249,3728.20172103,25034.52954525,32189.24078971,66940.60610532
2010,11,457.00491442,68213.58628086,5905.16916092,3771.57409424,25933.20430296,32391.29232743,68670.59119528
2010,12,497.88592695,69441.83149924,6064.22467349,3885.17740048,26324.68152319,32944.95691879,69939.71742619
2011,1,498.81442346,69154.54801844,6035.20556794,3908.50651487,25784.38800297,33203.64785011,69653.36244190
2011,2,490.18434767,68601.25694944,5860.93321490,3916.97546047,25296.99665485,33303.54717469,69091.44129711
2011,3,489.33048960,68204.08240606,5411.76811667,3892.14128626,25235.97167710,33432.77300438,68693.41289566
2011,4,590.89039448,70194.31335159,6727.40821794,3930.57877310,25629.35939059,33703.59575817,70785.20374607
2011,5,840.73547928,72002.56955805,7451.70605679,3987.08254002,26034.23128412,34322.79940692,72843.30503733
2011,6,719.38181413,70355.68405095,6134.99484976,3832.42535232,25463.89800961,34715.58147886,71075.06586508
2011,7,687.77486174,70716.69582128,6441.35531068,3820.08170344,25307.24806916,34939.06617310,71404.47068302
2011,8,660.59653619,69167.37040949,5980.65128983,3801.19206112,24616.98519874,34559.59888188,69827.96694568
2011,9,678.21944248,69123.59313431,6671.98483482,3770.83071594,23845.28033292,34626.33492593,69801.81257679
2011,10,706.35910459,68963.73655070,6843.10153385,3786.44660161,23698.29048103,34596.53736547,69670.09565529
2011,11,609.61780743,68448.44731932,6536.09466594,3780.04686407,23225.19129542,34864.15789761,69058.06512675
2011,12,556.90666146,68740.66572808,6545.75353889,3795.10815841,23369.04928458,34981.58216551,69297.57238954
2012,1,544.61998338,69097.23430339,6727.26887578,3824.97688215,23282.18335461,35213.60760197,69641.85428677
2012,2,492.15318038,69107.26247776,6621.00766669,3859.50981466,23144.92871291,35432.71049048,69599.41565814
2012,3,535.33094683,70178.21435302,7298.39495850,3861.06916244,23185.04639176,35784.63485885,70713.54529985
2012,4,529.04023312,71072.72143341,7630.27272794,3916.17055386,23700.36088964,35776.59844263,71601.76166653
2012,5,522.81184935,71938.94343278,7430.15516496,4668.90687936,23285.68241911,36505.05896354,72461.75528213
2012,6,479.17069373,70293.48186386,6844.73930496,4647.15651767,22152.60252430,36599.65500382,70772.65255759
2012,7,478.52453041,70087.96055809,7311.70926315,4649.40372270,21875.28694765,36202.41292978,70566.48508850
2012,8,492.42130680,70173.44868656,7728.64357608,4588.75821371,21695.77509463,36111.10815280,70665.86999336
2012,9,492.09121778,70201.86314712,7884.37145356,4595.60249655,21644.38747614,36022.43396203,70693.95436490
2012,10,510.50401935,69796.96505480,7499.15856713,4556.60524877,21750.95031548,35935.18186912,70307.46907415
2012,11,457.45126630,69484.12264147,7485.59735459,4553.52202001,21650.64090223,35738.47214339,69941.57390777
2012,12,534.51887587,69622.85136770,7298.91990297,4414.15190568,22115.77988263,35738.12794265,70157.37024357
2013,1,449.49432344,67971.31162679,7140.94895864,4433.05314520,21367.77098698,34973.71406733,68420.80595023
2013,2,435.66498675,67032.33479364,7720.51381610,4353.64084326,20732.99244980,34169.39611630,67467.99978039
2013,3,428.81757909,63287.55235843,6833.88060162,4348.71013307,19284.45066431,32765.33856511,63716.36993752
2013,4,365.93724194,57004.63175447,6056.31190167,4168.61785411,15285.42432993,31439.18652159,57370.56899641
2013,5,445.09410656,55574.87870060,6021.18914595,4101.90816074,14627.11608895,30769.26852766,56019.97280716
2013,6,367.12829918,50332.46121993,4768.71635617,3771.89043651,12588.86974246,29147.78014932,50699.58951911
2013,7,358.62863578,49384.79623530,5188.03154768,3685.87184027,12048.60839474,28407.21562912,49743.42487108
2013,8,414.40864875,47889.21318963,4783.82307327,3270.13489055,11756.89038600,28023.29063350,48303.62183838
2013,9,464.38029763,47010.91321416,4902.18873152,2484.96209332,11395.26336667,28173.40962532,47475.29351179
2013,10,355.18511084,46957.05960984,5401.74192182,2420.33211848,11112.06396368,27967.82608828,47312.24472068
2013,11,382.27091050,46786.41727122,5456.47989610,2369.18317074,11090.60497981,27790.81829449,47168.68818172
