Year,Month,Total,New Business,Renegotiations
2008,1,70.29873507,,
2008,2,94.79055845,,
2008,3,106.5403109,,
2008,4,103.7846737,,
2008,5,117.9898388,,
2008,6,128.3689942,,
2008,7,132.5132097,,
2008,8,89.62956073,,
2008,9,120.7688553,,
2008,10,116.5515087,,
2008,11,111.3742468,,
2008,12,101.4725,,
2009,1,78.11844858,,
2009,2,94.54886529,,
2009,3,113.3661746,,
2009,4,101.8501103,,
2009,5,120.4739407,,
2009,6,115.7414211,,
2009,7,120.1937115,,
2009,8,75.21952053,,
2009,9,115.0627698,,
2009,10,103.8213439,,
2009,11,118.2030399,,
2009,12,113.9335106,,
2010,1,44.33152893,,
2010,2,60.14506037,,
2010,3,67.74016221,,
2010,4,59.21236626,,
2010,5,69.74505735,,
2010,6,80.14217892,,
2010,7,72.94015551,,
2010,8,51.53313368,,
2010,9,66.78264863,,
2010,10,65.84715698,,
2010,11,67.36554387,,
2010,12,59.19571813,,
2011,1,42.23582542,,
2011,2,57.1634426,,
2011,3,60.63689372,,
2011,4,56.35389658,,
2011,5,64.99613024,,
2011,6,69.23105663,,
2011,7,56.9446046,,
2011,8,45.37433759,,
2011,9,57.8558998,,
2011,10,57.83733586,,
2011,11,59.15242637,,
2011,12,65.84054224,,
2012,1,43.00771705,,
2012,2,50.75874431,,
2012,3,58.91458591,,
2012,4,52.33102867,,
2012,5,55.3766397,,
2012,6,51.39856268,,
2012,7,47.60653969,,
2012,8,35.68491888,,
2012,9,36.59764465,,
2012,10,40.40625417,,
2012,11,36.69408065,,
2012,12,38.9014042,,
2013,1,30.01809069,,
2013,2,33.30572284,,
2013,3,17.22585098,,
2013,4,8.93376095,,
2013,5,19.27291324,,
2013,6,26.87093337,,
2013,7,26.68421893,,
2013,8,16.15242127,,
2013,9,30.57043743,,
2013,10,21.83506167,,
2013,11,15.39646924,,
2013,12,20.51641067,,
2014,1,10.08463238,,
2014,2,9.49276131,,
2014,3,8.52741865,,
2014,4,7.40686179,,
2014,5,7.50283311,,
2014,6,6.69064187,,
2014,7,7.16027343,,
2014,8,5.81865817,,
2014,9,6.67329738,,
2014,10,9.23117918,,
2014,11,8.06957348,,
2014,12,10.13618275,5.45589835,4.6802844
2015,1,7.17381769,4.81573063,2.35808706
2015,2,7.88704859,4.57308257,3.31396602
2015,3,11.21033449,8.36485006,2.84548443
2015,4,9.32697274,6.19614631,3.13082643
2015,5,7.7665768,6.2077606,1.5588162
2015,6,9.40147291,7.02670996,2.37476295
2015,7,11.09969236,8.59171975,2.50797261
2015,8,8.15386726,5.92829698,2.22557028
2015,9,11.88657042,8.96329231,2.92327811
2015,10,9.60929755,6.78400171,2.82529584
2015,11,9.79184054,7.09696811,2.69487243
2015,12,11.60936946,8.52073452,3.08863494
2016,1,8.76905086,6.21944493,2.54960593
2016,2,10.18087502,7.43685172,2.7440233
2016,3,13.38758146,10.21716261,3.17041885
2016,4,13.27777472,9.34973097,3.92804375
2016,5,13.92657687,10.90240204,3.02417483
2016,6,11.90854679,9.50985169,2.3986951
2016,7,12.13547874,10.28729278,1.84818596
2016,8,10.39472163,8.61630256,1.77841907
2016,9,12.68198769,10.61664954,2.06533815
2016,10,12.45989665,9.91193125,2.5479654
2016,11,14.74173529,12.51813877,2.22359652
2016,12,15.45800814,13.81560058,1.64240756
2017,1,13.97395232,12.30036601,1.67358631
2017,2,18.04783899,16.12042697,1.92741202
2017,3,16.86591186,15.29517062,1.57074124
2017,4,11.59662158,11.03031812,0.56630346
2017,5,13.8411802,12.5171461,1.3240341
2017,6,15.23456406,14.39199913,0.84256493
2017,7,17.08246335,15.47036411,1.61209924
2017,8,14.25794027,12.89922913,1.35871114
2017,9,15.80008454,14.53653812,1.26354642
2017,10,17.96371861,15.98394825,1.97977036
2017,11,18.75501036,17.56840981,1.18660055
2017,12,13.77961023,12.59075724,1.18885299
2018,1,16.05355768,14.19285903,1.86069865
2018,2,12.77632519,11.92780787,0.84851732
