Year,Month,Total,New Business,Renegotiations
2008,1,99.43355442,,
2008,2,192.9330941,,
2008,3,188.7923164,,
2008,4,182.742196,,
2008,5,206.0965122,,
2008,6,171.7317851,,
2008,7,208.5060811,,
2008,8,120.1835925,,
2008,9,177.8636246,,
2008,10,155.7372067,,
2008,11,142.6308134,,
2008,12,148.8019162,,
2009,1,80.68955369,,
2009,2,111.5539023,,
2009,3,136.6161251,,
2009,4,95.83109254,,
2009,5,112.8809837,,
2009,6,139.6036748,,
2009,7,162.8659914,,
2009,8,107.2483291,,
2009,9,122.5009868,,
2009,10,120.088326,,
2009,11,154.5996009,,
2009,12,135.4762114,,
2010,1,147.7470221,,
2010,2,157.55306,,
2010,3,219.4018357,,
2010,4,139.4881884,,
2010,5,173.2175628,,
2010,6,185.6782017,,
2010,7,178.4898511,,
2010,8,118.347285,,
2010,9,185.681427,,
2010,10,172.5831477,,
2010,11,167.390106,,
2010,12,192.3016962,,
2011,1,103.5234787,,
2011,2,178.2324294,,
2011,3,164.4480314,,
2011,4,143.4143125,,
2011,5,142.64657,,
2011,6,165.9435022,,
2011,7,139.4633771,,
2011,8,104.8142126,,
2011,9,126.9762709,,
2011,10,153.9230341,,
2011,11,115.2083687,,
2011,12,142.1901688,,
2012,1,78.24188556,,
2012,2,93.36411174,,
2012,3,112.8701403,,
2012,4,77.91510253,,
2012,5,92.89786486,,
2012,6,111.3962109,,
2012,7,137.2564202,,
2012,8,79.93503829,,
2012,9,99.20854103,,
2012,10,122.8210517,,
2012,11,86.11465105,,
2012,12,149.2422979,,
2013,1,82.9682713,,
2013,2,84.54912899,,
2013,3,58.14236762,,
2013,4,38.38201688,,
2013,5,91.22220614,,
2013,6,71.68564887,,
2013,7,60.90240983,,
2013,8,63.51791567,,
2013,9,107.3354364,,
2013,10,54.85604849,,
2013,11,35.01463476,,
2013,12,39.15690769,,
2014,1,28.40501711,,
2014,2,37.27249201,,
2014,3,25.69023305,,
2014,4,15.90734839,,
2014,5,12.94320068,,
2014,6,16.13982495,,
2014,7,14.34894741,,
2014,8,11.74053144,,
2014,9,43.06459056,,
2014,10,22.26314306,,
2014,11,19.10778901,,
2014,12,26.82975456,15.65346111,11.17629345
2015,1,26.76415463,16.46536756,10.29878707
2015,2,38.66982671,30.52733414,8.14249257
2015,3,35.99587946,22.65900698,13.33687248
2015,4,22.74111809,12.31531226,10.42580583
2015,5,11.70056002,7.16540805,4.53515197
2015,6,14.73571674,10.14437403,4.59134271
2015,7,22.93693022,18.24068905,4.69624117
2015,8,47.74552718,9.21993982,38.52558736
2015,9,43.33227932,22.32263404,21.00964528
2015,10,12.95730774,8.44237011,4.51493763
2015,11,18.81085347,12.17119861,6.63965486
2015,12,18.51428704,10.95646863,7.55781841
2016,1,17.25767035,11.95944935,5.298221
2016,2,15.01343461,10.22720746,4.78622715
2016,3,31.16053099,19.34530231,11.81522868
2016,4,26.12375991,14.11247417,12.01128574
2016,5,25.04418749,14.33622709,10.7079604
2016,6,19.64614053,17.54651992,2.09962061
2016,7,21.58308437,16.10443778,5.47864659
2016,8,16.75380935,13.45315325,3.3006561
2016,9,25.66686268,20.49809939,5.16876329
2016,10,24.10747075,22.65454851,1.45292224
2016,11,21.55169181,18.95121516,2.60047665
2016,12,28.19470387,22.41031469,5.78438918
2017,1,17.46172085,13.78597611,3.67574474
2017,2,14.16442579,11.38002817,2.78439762
2017,3,33.26138539,22.8756712,10.38571419
2017,4,14.75371262,12.19300569,2.56070693
2017,5,18.45537007,15.30139339,3.15397668
2017,6,18.58506477,16.10983001,2.47523476
2017,7,12.9427744,12.39599291,0.54678149
2017,8,23.83770837,20.76675232,3.07095605
2017,9,26.37355455,22.70656003,3.66699452
2017,10,20.76070785,16.2431258,4.51758205
2017,11,18.54361426,15.68582036,2.8577939
2017,12,18.25714249,16.29186927,1.96527322
2018,1,19.32468438,16.76449828,2.5601861
2018,2,17.91092774,15.38943237,2.52149537
