Year,Month,Total,New Business,Renegotiations
2008,1,307.9322468,,
2008,2,511.9276862,,
2008,3,540.5579838,,
2008,4,535.5528446,,
2008,5,614.8488259,,
2008,6,559.2317609,,
2008,7,597.8266163,,
2008,8,347.1743407,,
2008,9,503.2912374,,
2008,10,436.6830896,,
2008,11,407.7682959,,
2008,12,384.3417747,,
2009,1,247.7266674,,
2009,2,311.5342877,,
2009,3,376.8671912,,
2009,4,316.8410962,,
2009,5,381.9327577,,
2009,6,420.1694521,,
2009,7,476.1261887,,
2009,8,302.1790376,,
2009,9,438.634403,,
2009,10,450.3455346,,
2009,11,535.3204839,,
2009,12,591.553459,,
2010,1,367.3068088,,
2010,2,421.6713214,,
2010,3,570.4690998,,
2010,4,469.5076935,,
2010,5,577.0654109,,
2010,6,600.1159848,,
2010,7,528.7243998,,
2010,8,353.0540166,,
2010,9,484.1716601,,
2010,10,452.7173747,,
2010,11,484.1309261,,
2010,12,510.7662989,,
2011,1,291.3375568,,
2011,2,409.590686,,
2011,3,428.8302406,,
2011,4,366.7451482,,
2011,5,414.4859278,,
2011,6,426.0512349,,
2011,7,349.1814442,,
2011,8,269.1010844,,
2011,9,324.0850123,,
2011,10,335.0022247,,
2011,11,326.7647327,,
2011,12,342.6665736,,
2012,1,220.1612231,,
2012,2,251.8731653,,
2012,3,316.7330676,,
2012,4,230.8330123,,
2012,5,269.7234016,,
2012,6,260.4249635,,
2012,7,315.813837,,
2012,8,241.4003891,,
2012,9,264.2581679,,
2012,10,312.8223826,,
2012,11,273.7331204,,
2012,12,351.2090392,,
2013,1,225.516814,,
2013,2,240.0409412,,
2013,3,174.8089582,,
2013,4,190.4557436,,
2013,5,258.9559091,,
2013,6,228.3662252,,
2013,7,148.0039333,,
2013,8,174.8667324,,
2013,9,340.9603818,,
2013,10,220.4441824,,
2013,11,130.0715418,,
2013,12,124.3576156,,
2014,1,80.08416391,,
2014,2,99.92653249,,
2014,3,86.67955354,,
2014,4,68.92296494,,
2014,5,64.34729279,,
2014,6,63.27533156,,
2014,7,63.32323949,,
2014,8,48.18775315,,
2014,9,84.33834682,,
2014,10,72.93431604,,
2014,11,69.39817064,,
2014,12,96.92274079,35.97562479,60.947116
2015,1,75.08825664,31.23670668,43.85154996
2015,2,88.17610719,45.03021894,43.14588825
2015,3,97.62944657,43.16089711,54.46854946
2015,4,78.52930642,35.45600302,43.0733034
2015,5,74.54396675,33.35604508,41.18792167
2015,6,81.76718487,42.11281003,39.65437484
2015,7,92.11555737,57.71540906,34.40014831
2015,8,100.6632556,33.58586956,67.077386
2015,9,114.3863403,58.74780229,55.63853799
2015,10,76.52772139,42.33631855,34.19140284
2015,11,86.21310198,49.50701552,36.70608646
2015,12,111.0086466,62.50491171,48.50373487
2016,1,64.07560257,34.5456749,29.52992767
2016,2,81.6384114,48.23950244,33.39890896
2016,3,128.6505342,73.78121477,54.86931939
2016,4,117.6795938,69.53319178,48.14640198
2016,5,124.8820308,79.91330324,44.96872759
2016,6,106.6861415,74.15775253,32.52838899
2016,7,105.8780778,77.97831531,27.89976252
2016,8,91.83661873,59.97000909,31.86660964
2016,9,110.0216233,70.14421525,39.87740808
2016,10,111.1470958,83.98633187,27.16076397
2016,11,105.5722621,81.28306603,24.28919607
2016,12,142.6468081,113.9244185,28.72238966
2017,1,77.48794532,62.48240019,15.00554513
2017,2,84.32477756,69.27342313,15.05135443
2017,3,130.3491579,104.3262876,26.02287036
2017,4,86.45937728,73.95548858,12.5038887
2017,5,93.24601848,79.26766714,13.97835134
2017,6,102.9663135,85.2563011,17.71001235
2017,7,100.5824783,92.16051474,8.4219636
2017,8,117.5068496,101.5424664,15.9643832
2017,9,120.7049523,98.31869892,22.38625342
2017,10,114.0316043,95.39619107,18.63541325
2017,11,116.1573906,100.7177062,15.43968443
2017,12,138.5097306,124.7445693,13.76516124
2018,1,119.5551982,102.9533702,16.60182807
2018,2,102.0228395,90.29173893,11.73110056
