Year,Month,Total,New Business,Renegotiations
2008,1,80.58683081,,
2008,2,145.334015,,
2008,3,190.711219,,
2008,4,160.9223012,,
2008,5,214.9576542,,
2008,6,200.8224565,,
2008,7,216.2133367,,
2008,8,127.9012797,,
2008,9,156.7412813,,
2008,10,155.4270246,,
2008,11,122.4911022,,
2008,12,167.7090319,,
2009,1,97.46433501,,
2009,2,100.0273985,,
2009,3,123.7261229,,
2009,4,113.2058831,,
2009,5,118.3917457,,
2009,6,138.705263,,
2009,7,127.4966593,,
2009,8,109.1992263,,
2009,9,134.0948435,,
2009,10,128.1508549,,
2009,11,154.943814,,
2009,12,206.8585772,,
2010,1,115.5194423,,
2010,2,136.2819716,,
2010,3,215.5238958,,
2010,4,140.1311301,,
2010,5,153.9108213,,
2010,6,184.976324,,
2010,7,148.365421,,
2010,8,112.1047069,,
2010,9,136.1913698,,
2010,10,107.3913403,,
2010,11,127.0249987,,
2010,12,176.2158623,,
2011,1,92.13945073,,
2011,2,102.7227813,,
2011,3,155.2795334,,
2011,4,101.6166991,,
2011,5,119.0903035,,
2011,6,148.0386812,,
2011,7,120.4463185,,
2011,8,88.7516464,,
2011,9,122.1092107,,
2011,10,93.13194517,,
2011,11,88.69416748,,
2011,12,152.8523344,,
2012,1,84.4992168,,
2012,2,108.3795237,,
2012,3,134.8184646,,
2012,4,92.76155792,,
2012,5,118.0390669,,
2012,6,134.6308112,,
2012,7,99.27169807,,
2012,8,82.19591044,,
2012,9,120.3781101,,
2012,10,105.2072807,,
2012,11,89.96320606,,
2012,12,129.599364,,
2013,1,85.30449649,,
2013,2,73.68027892,,
2013,3,61.52178559,,
2013,4,78.41651195,,
2013,5,82.26662397,,
2013,6,88.46200331,,
2013,7,60.49532432,,
2013,8,77.4496951,,
2013,9,140.6686061,,
2013,10,79.21752625,,
2013,11,57.33178894,,
2013,12,69.38247895,,
2014,1,77.43652295,,
2014,2,44.82943095,,
2014,3,37.14791806,,
2014,4,31.6677681,,
2014,5,34.01379357,,
2014,6,33.84090044,,
2014,7,29.52874636,,
2014,8,16.60684392,,
2014,9,35.44149612,,
2014,10,21.23559903,,
2014,11,32.63931977,,
2014,12,34.56608396,24.23044345,10.33564051
2015,1,31.59709026,23.85937442,7.73771584
2015,2,27.02092045,17.4775174,9.54340305
2015,3,37.17385316,23.59317236,13.5806808
2015,4,39.45461048,25.00570906,14.44890142
2015,5,35.08676777,23.7743872,11.31238057
2015,6,42.93056561,29.68652293,13.24404268
2015,7,40.44639536,31.75328607,8.69310929
2015,8,29.79586006,17.18051139,12.61534867
2015,9,34.20261989,19.44671186,14.75590803
2015,10,28.92032548,20.16149898,8.7588265
2015,11,39.15245816,28.02552839,11.12692977
2015,12,44.14937571,27.37342516,16.77595055
2016,1,27.6551818,20.16703925,7.48814255
2016,2,36.14480184,26.12867506,10.01612678
2016,3,51.9527057,36.70588899,15.24681671
2016,4,45.63015526,35.06078895,10.56936631
2016,5,45.77098519,36.99678833,8.77419686
2016,6,54.84177221,40.27774147,14.56403074
2016,7,33.69918855,27.66459727,6.03459128
2016,8,34.89056033,30.0786071,4.81195323
2016,9,37.33559448,28.66140428,8.6741902
2016,10,34.7410709,27.91555884,6.82551206
2016,11,35.37281706,29.71097197,5.66184509
2016,12,51.90473785,38.59557407,13.30916378
2017,1,23.39685333,21.63576897,1.76108436
2017,2,40.02408758,32.51130484,7.51278274
2017,3,53.47078415,45.66715371,7.80363044
2017,4,33.05263567,28.54441798,4.50821769
2017,5,56.02174228,52.66435934,3.35738294
2017,6,54.35412524,45.77625519,8.57787005
2017,7,40.97578938,34.84112031,6.13466907
2017,8,36.6769234,32.47259061,4.20433279
2017,9,51.91276617,41.93387732,9.97888885
2017,10,36.73345989,31.61782848,5.11563141
2017,11,63.42405752,53.55778775,9.86626977
2017,12,56.99349038,52.1859264,4.80756398
2018,1,46.07734761,43.61244404,2.46490357
2018,2,43.39216286,38.84444592,4.54771694
