Year,Month,Total,New Business,Renegotiations
2008,1,138.1999573,,
2008,2,224.2040336,,
2008,3,245.2253565,,
2008,4,249.025975,,
2008,5,290.7624749,,
2008,6,259.1309816,,
2008,7,256.8073256,,
2008,8,137.3611875,,
2008,9,204.6587575,,
2008,10,164.3943742,,
2008,11,153.7632357,,
2008,12,134.0673584,,
2009,1,88.91866511,,
2009,2,105.4315201,,
2009,3,126.8848915,,
2009,4,119.1598934,,
2009,5,148.5778333,,
2009,6,164.8243563,,
2009,7,193.0664858,,
2009,8,119.711188,,
2009,9,201.0706464,,
2009,10,226.4358647,,
2009,11,262.5178431,,
2009,12,342.143737,,
2010,1,175.2282577,,
2010,2,203.9732011,,
2010,3,283.3271019,,
2010,4,270.8071389,,
2010,5,334.1027907,,
2010,6,334.2956042,,
2010,7,277.2943931,,
2010,8,183.1735979,,
2010,9,231.7075844,,
2010,10,214.28707,,
2010,11,249.3752763,,
2010,12,259.2688846,,
2011,1,145.5782528,,
2011,2,174.194814,,
2011,3,203.7453155,,
2011,4,166.9769392,,
2011,5,206.8432275,,
2011,6,190.8766761,,
2011,7,152.7734624,,
2011,8,118.9125342,,
2011,9,139.2528416,,
2011,10,123.2418547,,
2011,11,152.4039377,,
2011,12,134.6358626,,
2012,1,98.9116205,,
2012,2,107.7503092,,
2012,3,144.9483414,,
2012,4,100.5868811,,
2012,5,121.4488971,,
2012,6,97.63018987,,
2012,7,130.9508771,,
2012,8,125.7804319,,
2012,9,128.4519822,,
2012,10,149.5950768,,
2012,11,150.9243887,,
2012,12,163.065337,,
2013,1,112.530452,,
2013,2,122.1860894,,
2013,3,99.44073957,,
2013,4,143.1399657,,
2013,5,148.4607897,,
2013,6,129.8096429,,
2013,7,60.41730457,,
2013,8,95.19639549,,
2013,9,203.054508,,
2013,10,143.7530722,,
2013,11,79.66043784,,
2013,12,64.68429723,,
2014,1,41.59451442,,
2014,2,53.16127917,,
2014,3,52.46190184,,
2014,4,45.60875476,,
2014,5,43.901259,,
2014,6,40.44486474,,
2014,7,41.81401865,,
2014,8,30.62856354,,
2014,9,34.60045888,,
2014,10,41.4399938,,
2014,11,42.22080815,,
2014,12,59.95680348,14.86626533,45.09053815
2015,1,41.15028432,9.95560849,31.19467583
2015,2,41.61923189,9.92980223,31.68942966
2015,3,50.42323262,12.13704007,38.28619255
2015,4,46.46121559,16.94454445,29.51667114
2015,5,55.07682993,19.98287643,35.0939535
2015,6,57.62999522,24.94172604,32.68826918
2015,7,58.07893479,30.88300026,27.19593453
2015,8,44.76386112,18.43763276,26.32622836
2015,9,59.16749054,27.46187594,31.7056146
2015,10,53.9611161,27.10994673,26.85116937
2015,11,57.61040797,30.2388488,27.37155917
2015,12,80.88499008,43.02770856,37.85728152
2016,1,38.04888136,16.36678062,21.68210074
2016,2,56.44410177,30.57544326,25.86865851
2016,3,84.10242171,44.21874985,39.88367186
2016,4,78.27805913,46.07098664,32.20707249
2016,5,85.91126647,54.67467411,31.23659236
2016,6,75.1314542,47.10138092,28.03007328
2016,7,72.15951472,51.58658475,20.57292997
2016,8,64.68808775,37.90055328,26.78753447
2016,9,71.67277296,39.02946632,32.64330664
2016,10,74.57972844,51.41985211,23.15987633
2016,11,69.278835,49.8137121,19.4651229
2016,12,98.9940961,77.69850318,21.29559292
2017,1,46.05227215,36.39605807,9.65621408
2017,2,52.11251278,41.77296799,10.33954479
2017,3,80.22186069,66.15544576,14.06641493
2017,4,60.10904308,50.73216477,9.37687831
2017,5,60.94946821,51.44912765,9.50034056
2017,6,69.14668462,54.75447196,14.39221266
2017,7,70.55724059,64.29415772,6.26308287
2017,8,79.41120094,67.87648493,11.53471601
2017,9,78.53131325,61.07560077,17.45571248
2017,10,75.30717786,63.16911702,12.13806084
2017,11,78.858766,67.46347602,11.39528998
2017,12,106.4729778,95.86194281,10.61103503
2018,1,84.17695616,71.99601284,12.18094332
2018,2,71.33558656,62.97449869,8.36108787
