Year,Month,Domestic residents,Residents of other participating EU Member States,Residents of the rest of the world,Total
2005,11,24087.47588937,560.67895324,2627.3006119,27275.45545449
2005,12,25005.08093897,446.87066533,2610.44331083,28062.3949151
2006,1,24917.62622685,447.84990266,2639.96432404,28005.4404534799
2006,2,25210.90403086,456.49928691,2773.00700755,28440.41032536
2006,3,25393.7712125,466.16909131,2898.50582155,28758.44612532
2006,4,25759.54356991,465.80311137,2741.13192161,28966.47860292
2006,5,26010.46998657,469.92779377,2846.29021225,29326.68799259
2006,6,26675.29559412,573.56364491,2751.34349461,30000.20273367
2006,7,26863.14275917,595.90433635,2764.09591329,30223.14300881
2006,8,26966.45808328,532.15984714,2789.43141814,30288.04934857
2006,9,27123.27409704,545.21482347,2947.37381442,30615.86273491
2006,10,27452.77161188,525.22911481,3115.66487531,31093.6656020299
2006,11,27481.35344983,546.30009712,3132.66161419,31160.31516113
2006,12,27511.16218217,665.83574619,3240.43597188,31417.43390029
2007,1,27680.44819497,622.26391792,3306.48700683,31609.19911974
2007,2,27896.48853627,629.20104969,3343.1167199,31868.80630586
2007,3,28719.75207244,665.66696558,3458.16291848,32843.58195652
2007,4,28777.07802577,685.43658385,3438.43675589,32900.95136552
2007,5,29644.82104305,699.49043195,3625.74104981,33970.0525248
2007,6,30589.74411505,758.19886594,4136.39912942,35484.34211043
2007,7,30965.99646008,847.5637249,4368.96705671,36182.52724169
2007,8,31535.82930143,812.23358579,4573.70895363,36921.77184086
2007,9,31989.48447862,839.45700009,4909.11061068,37738.05208937
2007,10,32484.48683479,849.07847874,5173.50723216,38507.07254568
2007,11,32978.5667336,867.47507228,5189.06292526,39035.10473112
2007,12,33995.32860693,953.12301706,6071.58762103,41020.03924503
2008,1,34521.07349264,1001.69301666,6555.51988323,42078.28639253
2008,2,34864.15476669,1041.76939344,6623.12316355,42529.04732368
2008,3,35636.61010473,1048.09312747,6642.77600986,43327.47924206
2008,4,36147.63709981,1067.70395503,7301.7724497,44517.11350454
2008,5,36723.21016012,1068.31708989,7546.97355026,45338.50080027
2008,6,37735.83012349,1104.02378338,7853.41480959,46693.26871646
2008,7,40421.78111445,995.78872626,7511.34028509,48928.9101258
2008,8,40896.03209519,1018.08744007,7878.03751825,49792.15705351
2008,9,41812.19782906,1598.37262365,8456.57142809,51867.1418808
2008,10,42946.16248752,1895.90996205,9084.31636209,53926.38881166
2008,11,42798.3899891,1887.06151276,9476.5620371,54162.01353896
2008,12,43451.79592772,1954.3673731,9036.43566884,54442.59896966
2009,1,43885.4785632099,2328.71239665,9336.60813747,55550.79909733
2009,2,43618.83333606,2395.69409381,9399.94049078,55414.46792065
2009,3,43537.69269508,2417.89434732,9172.82644794,55128.41349034
2009,4,44225.84359286,2461.85199647,9279.40059454,55967.09618387
2009,5,44050.33673845,2472.63492708,9046.33118148,55569.30284701
2009,6,44665.88756565,2826.66905363,9357.81700927,56850.37362855
2009,7,44000.6712238,3046.50057138,9392.95901045,56440.13080563
2009,8,43988.87204975,3528.11115152,9392.89027004,56909.87347131
2009,9,44235.97555266,3679.75064686,9765.25142381,57680.97762333
2009,10,44804.42355001,3642.9088468,9305.14592147,57752.47831828
2009,11,44828.71386102,3592.07631798,9033.67918149,57454.46936049
2009,12,45680.97811047,3520.8487146,8672.20084787,57874.02767294
2010,1,46203.02384568,3525.95130461,8733.25991285,58462.23506314
2010,2,46230.1473123,3237.12733369,8915.63222749,58382.90687348
2010,3,46787.2425557,3465.86797305,9097.45671067,59350.56723942
2010,4,47148.63052628,3280.83547593,9032.09131172,59461.55731393
2010,5,47430.12400308,3012.70396136,9428.87069469,59871.69865913
2010,6,48537.37848203,3149.39741921,9626.74312936,61313.5190306
2010,7,48291.94885025,3133.0893689,9486.21196559,60911.25018474
2010,8,48383.08023925,3021.45980725,9834.48873476,61239.02878126
2010,9,48303.37158298,2812.0786982,8604.19260974,59719.64289092
2010,10,48034.62135906,2784.20171908,8725.68963675,59544.51271489
2010,11,48532.25988607,2595.15470829,9110.87478799,60238.28938235
2010,12,49402.75913372,2786.56808757,9285.76566607,61475.09288736
2011,1,49355.05615359,2888.94168715,9012.04485898,61256.04269972
2011,2,49427.03601926,2876.03157582,9935.71846144,62238.78605652
2011,3,50053.7616309199,2920.61699197,10130.55620864,63104.93483153
2011,4,49932.64118261,3408.79350482,9924.29541945,63265.73010688
2011,5,50338.90678024,3415.6260375,10079.02106292,63833.55388066
2011,6,51175.20080939,3518.47563556,10444.41904699,65138.09549194
2011,7,51621.63637399,3427.94043211,10935.54026984,65985.11707594
2011,8,51923.65287702,3413.16536137,10923.18583847,66260.00407686
2011,9,52052.44292416,3148.91998167,12460.95346298,67662.31636881
2011,10,51877.079012,3181.40499949,12788.89396916,67847.37798065
2011,11,51981.85787617,3164.273076,13477.42448027,68623.55543244
2011,12,52869.63556498,3232.3942076,12418.41711079,68520.44688337
2012,1,52832.84313785,2892.90202372,12612.52444603,68338.2696076
2012,2,52867.02317706,3117.19109759,12591.76501678,68575.97929143
2012,3,52085.55867786,3173.60985288,12670.89700549,67930.06553623
2012,4,52065.81787387,3405.66158724,13046.794633,68518.27409411
2012,5,52218.30179759,4261.50102802,13826.55238803,70306.35521364
2012,6,52961.47813536,4909.26656081,13819.93247241,71690.67716858
2012,7,53579.96356197,4923.84273072,14327.88115212,72831.68744481
2012,8,53683.68581118,4892.86318066,14211.49120303,72788.04019487
2012,9,53624.38486144,4856.04129098,14170.46119572,72650.88734814
2012,10,52848.87365538,4823.24400746,13742.88979157,71415.00745441
2012,11,53111.04096988,4762.81455151,13646.09727088,71519.95279227
2012,12,53936.39788371,4857.69815401,13672.38413593,72466.48017365
2013,1,54011.1688158,4786.20998137,13323.94667841,72121.32547558
2013,2,54058.38546547,4796.47009811,13547.34593731,72402.20150089
2013,3,54298.12429186,3838.83542657,12284.79246394,70421.75218237
2013,4,53107.80658333,3655.25675808,11658.41702319,68421.4803646
2013,5,52615.40279714,4009.94340562,11558.56838856,68183.91459132
2013,6,52349.1920114,4071.66307117,11369.23779307,67790.09287564
2013,7,51805.30896921,3566.026914,10913.24174304,66284.57762625
2013,8,50289.44017785,3497.48694294,10019.16634273,63806.09346352
2013,9,49930.48902515,4515.93554104,9628.98202988,64075.40659607
2013,10,49263.90919781,4537.11397351,9502.01113857,63303.03430989
2013,11,49101.98801093,4633.05386793,9703.60343537,63438.64531423
2013,12,50081.77877219,4302.09950588,9213.68952615,63597.56780422
2014,1,49997.29298101,4234.02864828,9190.5243943,63421.84602359
2014,2,49810.52676032,4176.81138608,8966.24889647,62953.58704287
2014,3,49468.04689524,4342.90245139,8234.62013151,62045.56947814
2014,4,49243.55874678,4151.75640065,7958.54615897,61353.8613064
2014,5,49449.73182473,4100.69694051,7401.97827742,60952.40704266
2014,6,49605.76186264,4222.12733951,7619.09001604,61446.97921819
2014,7,49541.02889875,4059.87814091,7475.39570674,61076.3027464
2014,8,49522.21108864,4079.36828148,6710.62275883,60312.20212895
2014,9,49576.79250377,3606.15555539,6592.80211567,59775.75017483
2014,10,49505.63604629,3495.15493244,6509.73845239,59510.52943112
2014,11,48802.92025746,3523.68223494,6414.17251139,58740.77500379
2014,12,49583.16371439,3122.09669214,8810.88954168,61516.14994821
2015,1,50090.48935439,4423.59126047,10218.30598935,64732.38660421
2015,2,50098.65912618,3906.81238759,10613.24265942,64618.71417319
2015,3,49974.26665397,3911.16538832,10276.35304009,64161.78508238
2015,4,49805.53810307,3713.57267251,9962.6345145,63481.74529008
2015,5,49239.75388313,3730.56137121,9710.97782234,62681.29307668
2015,6,49176.05645908,3654.83641555,9720.8248218,62551.71769643
2015,7,49042.07820875,3647.96484852,9352.15332205,62042.1963793199
2015,8,48715.96653527,3595.92451232,9188.80861034,61500.69965793
2015,9,48559.00943146,3512.58982313,9081.05543953,61152.65469412
2015,10,48320.17779189,3540.10921036,9248.15683717,61108.44383942
2015,11,51192.76461465,3596.03248624,8437.69378868,63226.49088957
2015,12,51200.98754752,3485.85540213,8051.71649026,62738.55943991
2016,1,48087.40482919,3462.81550303,7882.43270988,59432.6530421
