Year,Month,Total,New Business,Renegotiations
2008,1,223.5294961,,
2008,2,256.232082,,
2008,3,267.2126851,,
2008,4,375.1630824,,
2008,5,244.900082,,
2008,6,384.2161065,,
2008,7,258.6121725,,
2008,8,163.7143615,,
2008,9,452.4008422,,
2008,10,463.8396189,,
2008,11,95.60288929,,
2008,12,244.570002,,
2009,1,293.8871761,,
2009,2,106.7124515,,
2009,3,130.6832231,,
2009,4,118.3697745,,
2009,5,154.2759485,,
2009,6,365.4548376,,
2009,7,280.1930551,,
2009,8,751.4633637,,
2009,9,277.3593252,,
2009,10,269.4505168,,
2009,11,270.0339191,,
2009,12,382.5223505,,
2010,1,93.43901501,,
2010,2,261.634518,,
2010,3,517.4335236,,
2010,4,148.0414031,,
2010,5,219.8504248,,
2010,6,268.4261278,,
2010,7,229.7802401,,
2010,8,89.29900441,,
2010,9,145.4665748,,
2010,10,189.8446142,,
2010,11,152.9872828,,
2010,12,324.3930333,,
2011,1,114.4543343,,
2011,2,163.3445891,,
2011,3,356.3356772,,
2011,4,207.2274493,,
2011,5,154.2923581,,
2011,6,99.14978323,,
2011,7,253.5392011,,
2011,8,197.8493801,,
2011,9,258.5433158,,
2011,10,126.5746558,,
2011,11,92.72966368,,
2011,12,329.4349432,,
2012,1,89.22820876,,
2012,2,111.8868815,,
2012,3,251.3754746,,
2012,4,103.4591905,,
2012,5,243.0837677,,
2012,6,159.4986316,,
2012,7,141.6960306,,
2012,8,72.61930247,,
2012,9,227.284574,,
2012,10,154.3644736,,
2012,11,126.3692722,,
2012,12,274.9760042,,
2013,1,152.3776176,,
2013,2,116.9940712,,
2013,3,84.01535874,,
2013,4,263.3176362,,
2013,5,190.5402204,,
2013,6,143.3554786,,
2013,7,128.7541193,,
2013,8,250.1789274,,
2013,9,459.9567769,,
2013,10,114.5972918,,
2013,11,149.1922143,,
2013,12,114.8638966,,
2014,1,92.46214272,,
2014,2,113.195972,,
2014,3,30.66974328,,
2014,4,41.36340831,,
2014,5,67.61954457,,
2014,6,111.9568099,,
2014,7,293.7834877,,
2014,8,88.77949434,,
2014,9,61.01226687,,
2014,10,59.36379502,,
2014,11,19.37076337,,
2014,12,29.84176078,15.86999969,13.97176109
2015,1,46.94476427,43.13325859,3.81150568
2015,2,123.5348036,44.92500018,78.60980346
2015,3,152.1689798,83.65990144,68.50907839
2015,4,81.62346004,58.72450829,22.89895175
2015,5,80.07661613,50.77217584,29.30444029
2015,6,117.5823365,80.8828788,36.69945767
2015,7,179.5641286,158.237713,21.32641563
2015,8,46.102085,31.85,14.252085
2015,9,100.867455,62.627862,38.23959296
2015,10,249.7720556,40.41654703,209.3555086
2015,11,97.42698889,75.55767,21.86931889
2015,12,172.2117245,134.29,37.92172449
2016,1,146.7764501,67.34187659,79.43457347
2016,2,130.5869249,61.105,69.48192486
2016,3,126.7440677,101.3825,25.36156765
2016,4,88.35719282,26.937,61.42019282
2016,5,223.8718299,42.94293534,180.9288946
2016,6,186.4583416,115.30595,71.15239156
2016,7,140.5979064,102.814,37.78390641
2016,8,48.57255404,19.762,28.81055404
2016,9,188.9559624,151.9186067,37.0373557
2016,10,127.0344931,115.6986,11.33589309
2016,11,186.156979,165.7334381,20.42354091
2016,12,265.494106,142.3734981,123.1206079
2017,1,61.7478914,45.1943354,16.553556
2017,2,220.5933695,195.9912087,24.60216086
2017,3,270.6036476,236.5406933,34.06295428
2017,4,166.804207,147.5206738,19.28353312
2017,5,109.4670314,90.36836739,19.09866399
2017,6,229.4202445,159.2876934,70.13255102
2017,7,85.81852101,83.81852101,2
2017,8,153.530984,140.42098,13.110004
2017,9,224.3024972,216.378063,7.92443417
2017,10,78.18976131,65.98834373,12.20141758
2017,11,192.9368403,135.4122234,57.52461695
2017,12,183.0666414,150.6181083,32.44853312
2018,1,122.7158184,113.1023235,9.61349492
2018,2,87.23995108,68.3919,18.84805108
