Year,Month,Total,New Business,Renegotiations
2008,1,304.1163269,,
2008,2,401.566097,,
2008,3,457.9239041,,
2008,4,536.0853837,,
2008,5,459.8577362,,
2008,6,585.0385631,,
2008,7,474.8255093,,
2008,8,291.6156412,,
2008,9,609.1421234,,
2008,10,619.2666436,,
2008,11,218.0939914,,
2008,12,412.2790338,,
2009,1,391.3515111,,
2009,2,206.73985,,
2009,3,254.409346,,
2009,4,231.5756576,,
2009,5,272.6676942,,
2009,6,504.1601006,,
2009,7,407.6897143,,
2009,8,860.66259,,
2009,9,411.4541687,,
2009,10,397.6013718,,
2009,11,424.9777331,,
2009,12,589.3809277,,
2010,1,208.9584573,,
2010,2,397.9164896,,
2010,3,732.9574194,,
2010,4,288.1725332,,
2010,5,373.761246,,
2010,6,453.4024518,,
2010,7,378.1456611,,
2010,8,201.4037113,,
2010,9,281.6579446,,
2010,10,297.2359546,,
2010,11,280.0122815,,
2010,12,500.6088956,,
2011,1,206.593785,,
2011,2,266.0673705,,
2011,3,511.6152106,,
2011,4,308.8441484,,
2011,5,273.3826616,,
2011,6,247.1884644,,
2011,7,373.9855196,,
2011,8,286.6010265,,
2011,9,380.6525266,,
2011,10,219.7066009,,
2011,11,181.4238312,,
2011,12,482.2872776,,
2012,1,173.7274256,,
2012,2,220.2664052,,
2012,3,386.1939392,,
2012,4,196.2207484,,
2012,5,361.1228345,,
2012,6,294.1294428,,
2012,7,240.9677286,,
2012,8,154.8152129,,
2012,9,347.6626841,,
2012,10,259.5717542,,
2012,11,216.3324783,,
2012,12,404.5753681,,
2013,1,237.6821141,,
2013,2,190.6743501,,
2013,3,145.5371443,,
2013,4,341.7341481,,
2013,5,272.8068443,,
2013,6,231.8174819,,
2013,7,189.2494437,,
2013,8,327.6286225,,
2013,9,600.625383,,
2013,10,193.8148181,,
2013,11,206.5240032,,
2013,12,184.2463756,,
2014,1,169.8986657,,
2014,2,158.025403,,
2014,3,67.81766134,,
2014,4,73.03117641,,
2014,5,101.6333381,,
2014,6,145.7977104,,
2014,7,323.312234,,
2014,8,105.3863383,,
2014,9,96.45376299,,
2014,10,80.59939405,,
2014,11,52.01008314,,
2014,12,64.40784474,40.10044314,24.3074016
2015,1,78.54185453,66.99263301,11.54922152
2015,2,150.5557241,62.40251758,88.15320651
2015,3,189.342833,107.2530738,82.08975919
2015,4,121.0780705,83.73021735,37.34785317
2015,5,115.1633839,74.54656304,40.61682086
2015,6,160.5129021,110.5694017,49.94350035
2015,7,220.010524,189.9909991,30.01952492
2015,8,75.89794506,49.03051139,26.86743367
2015,9,135.0700749,82.07457386,52.99550099
2015,10,278.6923811,60.57804601,218.1143351
2015,11,136.5794471,103.5831984,32.99624866
2015,12,216.3611002,161.6634252,54.69767504
2016,1,174.4316319,87.50891584,86.92271602
2016,2,166.7317267,87.23367506,79.49805164
2016,3,178.6967734,138.088389,40.60838436
2016,4,133.9873481,61.99778895,71.98955913
2016,5,269.6428151,79.93972367,189.7030914
2016,6,241.3001138,155.5836915,85.7164223
2016,7,174.297095,130.4785973,43.81849769
2016,8,83.46311437,49.8406071,33.62250727
2016,9,226.2915569,180.580011,45.7115459
2016,10,161.775564,143.6141588,18.16140515
2016,11,221.529796,195.44441,26.085386
2016,12,317.3988439,180.9690722,136.4297717
2017,1,85.14474473,66.83010437,18.31464036
2017,2,260.6174571,228.5025135,32.1149436
2017,3,324.0744317,282.207847,41.86658472
2017,4,199.8568426,176.0650918,23.79175081
2017,5,165.4887737,143.0327267,22.45604693
2017,6,283.7743697,205.0639486,78.71042107
2017,7,126.7943104,118.6596413,8.13466907
2017,8,190.2079074,172.8935706,17.31433679
2017,9,276.2152634,258.3119404,17.90332302
2017,10,114.9232212,97.60617221,17.31704899
2017,11,256.3608978,188.9700111,67.39088672
2017,12,240.0601318,202.8040347,37.2560971
2018,1,168.793166,156.7147675,12.07839849
2018,2,130.6321139,107.2363459,23.39576802
