Year,Quarter,General Residential Property Price Index
2006,1,68.1
2006,2,72.2
2006,3,73.4
2006,4,78.2
2007,1,82.7
2007,2,89.5
2007,3,92.0
2007,4,95.5
2008,1,103.6
2008,2,106.9
2008,3,107.7
2008,4,104.8
2009,1,99.3
2009,2,100.1
2009,3,100.7
2009,4,102.8
2010,1,100.0
2010,2,99.6
2010,3,99.7
2010,4,99.1
2011,1,98.1
2011,2,97.0
2011,3,95.9
2011,4,94.2
2012,1,93.2
2012,2,91.3
2012,3,90.4
2012,4,89.8
2013,1,88.4
2013,2,86.3
2013,3,84.2
2013,4,82.1
2014,1,80.0
2014,2,78.4
2014,3,77.1
2014,4,75.6
2015,1,74.8
2015,2,74.5
2015,3,74.2
2015,4,74.2
2016,1,73.6
2016,2,73.2
2016,3,73.3
2016,4,73.5
2017,1,73.7
2017,2,74.1
2017,3,74.3
2017,4,74.6
