Year,Quarter,Nicosia,Limassol,Larnaca,Paphos,Famagusta
2006,1,71.7,64.7,66.2,84.3,60.3
2006,2,73.1,67.3,70.4,86.2,67.6s
2006,3,74.5,71.2,66.5,85.9,71.7
2006,4,79.5,72.8,81.7,86.1,73.8
2007,1,82.8,75.8,82.3,88.6,82.9
2007,2,90.1,82.2,87.9,90.8,89.2
2007,3,91.2,88.0,93.2,93.1,90.6
2007,4,91.0,91.1,99.3,98.5,98.7
2008,1,103.0,99.7,103.6,99.7,102.9
2008,2,104.3,103.5,104.9,99.9,100.6
2008,3,106.9,103.2,104.3,102.5,113.4
2008,4,104.4,106.6,100.0,102.4,108.9
2009,1,99.7,95.6,99.4,103.7,108.3
2009,2,100.8,93.7,99.3,104.1,106.0
2009,3,101.1,96.7,103.4,102.6,101.1
2009,4,100.2,101.5,103.0,101.6,102.3
2010,1,100.0,100.0,100.0,100.0,100.0
2010,2,99.4,99.6,99.9,100.6,98.1
2010,3,100.2,98.4,99.4,100.8,100.3
2010,4,100.0,97.9,98.5,99.8,99.5
2011,1,99.6,96.2,97.5,99.2,95.4
2011,2,99.3,94.8,95.6,96.0,97.3
2011,3,98.4,93.9,94.2,94.5,94.1
2011,4,97.2,92.6,92.4,91.8,90.9
2012,1,96.5,92.1,90.3,89.2,90.5
2012,2,94.9,90.6,87.4,88.9,86.6
2012,3,93.6,90.3,86.6,86.7,87.2
2012,4,92.7,90.3,84.8,85.4,87.1
2013,1,90.6,89.3,82.3,85.9,87.7
2013,2,88.8,87.5,81.2,84.6,80.1
2013,3,86.8,85.5,78.2,82.4,77.3
2013,4,84.9,83.6,76.3,80.2,75.0
2014,1,82.7,81.4,74.5,78.2,72.8
2014,2,81.2,79.8,72.9,77.6,71.5
2014,3,79.6,79.4,70.9,77.3,70.3
2014,4,77.7,77.5,70.0,76.6,69.8
2015,1,77.0,76.5,69.1,75.7,70.2
2015,2,76.5,76.4,68.4,74.7,70.3
2015,3,75.5,76.3,68.8,75.4,69.2
2015,4,75.1,76.3,68.7,75.7,70.8
2016,1,74.5,75.9,67.8,75.1,69.4
2016,2,74.1,75.3,68.1,75.2,67.4
2016,3,73.9,75.6,68.2,75.4,66.7
2016,4,74.3,75.9,67.7,74.5,66.8
2017,1,74.5,76.6,67.2,74.1,66.9
2017,2,74.7,77.1,67.1,75.4,67.0
2017,3,74.9,77.5,67.8,74.8,67.7
2017,4,74.9,78.1,68.1,75.1,67.7
