Year,Quarter,Nicosia,Limassol,Larnaca,Paphos,Famagusta
2010,1,100.0,100.0,100.0,100.0,100.0
2010,2,98.8,99.2,97.9,97.5,100.4
2010,3,99.1,96.0,95.9,97.1,95.5
2010,4,99.4,95.8,94.7,93.3,92.6
2011,1,99.5,93.3,91.3,87.6,86.5
2011,2,99.4,91.9,89.8,84.0,83.4
2011,3,99.1,91.8,88.0,80.3,80.7
2011,4,97.9,90.2,85.8,78.8,81.8
2012,1,96.4,90.5,85.4,78.7,79.5
2012,2,95.3,88.6,83.0,78.2,76.6
2012,3,95.4,87.3,81.1,75.5,75.8
2012,4,93.5,86.7,79.4,75.1,75.4
2013,1,92.1,86.6,75.0,74.3,74.5
2013,2,90.1,83.0,73.3,72.2,71.2
2013,3,88.0,81.8,70.5,71.9,69.9
2013,4,85.9,79.8,67.9,68.4,71.6
2014,1,83.5,76.9,65.6,69.2,69.7
2014,2,82.4,75.3,63.6,67.3,66.6
2014,3,80.6,74.0,62.9,66.4,62.4
2014,4,79.3,73.4,62.9,65.8,57.6
2015,1,78.3,72.9,60.4,64.8,60.6
2015,2,76.8,73.7,61.4,63.7,60.1
2015,3,76.3,75.3,61.6,64.6,59.2
2015,4,75.1,74.3,60.6,63.8,61.3
2016,1,75.1,75.0,60.5,66.4,59.0
2016,2,75.0,73.8,61.1,65.8,57.3
2016,3,74.7,74.0,61.2,66.9,57.4
2016,4,75.3,75.5,62.3,65.2,57.4
2017,1,75.3,76.6,62.3,64.3,57.4
2017,2,77.0,78.3,61.6,63.7,58.6
2017,3,77.3,78.7,62.7,64.2,58.3
2017,4,77.5,80.3,62.6,65.6,57.2
