Year,Quarter,Nicosia,Limassol,Larnaca,Paphos,Famagusta
2010,1,100.0,100.0,100.0,100.0,100.0
2010,2,99.6,99.7,100.8,101.7,97.7
2010,3,100.6,99.2,100.8,102.1,101.7
2010,4,100.2,98.5,99.9,101.9,101.1
2011,1,99.7,97.1,99.4,102.4,97.9
2011,2,99.2,95.6,97.3,99.5,101.1
2011,3,98.2,94.5,96.1,98.6,96.9
2011,4,97.0,93.2,94.5,95.9,92.7
2012,1,96.5,92.5,91.9,92.5,92.3
2012,2,94.7,91.1,88.7,92.1,88.2
2012,3,92.9,91.0,88.0,90.1,89.1
2012,4,92.4,91.3,86.1,88.2,89.1
2013,1,90.0,90.0,84.5,89.1,90.0
2013,2,88.3,88.8,83.8,88.1,81.5
2013,3,86.3,86.6,80.7,85.4,78.4
2013,4,84.5,84.7,79.3,84.1,75.6
2014,1,82.4,82.8,77.3,81.0,73.3
2014,2,80.7,81.3,75.8,80.8,72.3
2014,3,79.2,81.2,73.4,80.8,71.7
2014,4,77.1,78.9,72.4,80.2,71.9
2015,1,76.4,77.8,72.0,79.7,72.1
2015,2,76.4,77.3,71.1,78.7,72.2
2015,3,75.2,76.6,71.9,78.9,70.8
2015,4,75.2,77.0,72.5,80.0,72.2
2016,1,74.3,76.2,71.1,78.5,71.2
2016,2,73.7,75.8,71.0,79.0,69.1
2016,3,73.7,76.1,71.4,79.4,68.5
2016,4,73.9,76.1,69.9,78.8,68.9
2017,1,74.1,76.6,69.3,78.8,69.0
2017,2,73.7,76.6,69.3,80.8,69.0
2017,3,73.9,77.1,69.7,80.1,69.7
2017,4,73.8,77.3,70.1,79.6,70.4
